2R:20810001-21146708	2R:24922478..25259185	 R6:  
3R:1-4690000	3R:4174279..8864278	 R6:  
3R:4860001-27905000	3R:9034279..32079278	 R6:  
2L:1-16360000	2L:1..16360000	 R6:  
2L:16440001-17875000	2L:16440001..17875000	 R6:  
2L:18365001-20350000	2L:18365001..20350000	 R6:  
2L:20365001-21510000	2L:20365001..21510000	 R6: includes 1 area of change
2L:21440001-23011544	2L:?..?	 R6: in area of change
X:1-140000	X:103614..245967	 R6: includes 105 area(s) of change
X:335001-555000	X:440968..660967	 R6:  
X:6175001-6410000	X:6280968..6515967	 R6:  
X:10620001-10820000	X:10725968..10925967	 R6:  
X:11840001-12115000	X:11945968..12220967	 R6:  
X:12625001-13190000	X:12730968..13295967	 R6:  
X:13570001-14505000	X:13675968..14610967	 R6:  
X:14705001-14960000	X:14810968..15065967	 R6:  
X:20860001-21110000	X:20988974..21238973	 R6:  
X:21405001-22050000	X:21533974..22648164	 R6: includes 22 area(s) of change
X:22185001-22422827	X:22783165..23020991	 R6:  
3L:5310001-6855000	3L:5316901..6861900	 R6:  
3L:23100001-24070000	3L:23106901..24076900	 R6:  
3L:24005001-24270000	3L:24011901..24276900	 R6:  
3L:24355001-24543557	3L:24361901..24550457	 R6: includes 2 area(s) of change
2R:1-480000	2R:4112496..4592495	 R6: includes 2 area(s) of change
2R:385001-3005000	2R:4497496..7117495	 R6:  
2R:5835001-9105000	2R:9947496..13217495	 R6:  
2R:9090001-17890000	2R:13202496..22002495	 R6: includes 1 area of change
2R:17805001-18980000	2R:21917496..23092477	 R6: includes 1 area of change
2R:19060001-21146708	2R:23172478..25259185	 R6:  
3R:240001-440000	3R:4414279..4614278	 R6:  
3R:670001-870000	3R:4844279..5044278	 R6:  
3R:6900001-7100000	3R:11074279..11274278	 R6:  
3R:8310001-9435000	3R:12484279..13609278	 R6:  
3R:24960001-25170000	3R:29134279..29344278	 R6:  
2L:3405001-4230000	2L:3405001..4230000	 R6:  
2L:21300001-21510000	2L:21300001..21510000	 R6: includes 1 area of change
2L:22290001-22775000	2L:22290001..22882268	 R6: includes 1 area of change
2L:22755001-23011544	2L:?..?	 R6: in area of change
X:1-145000	X:103614..250967	 R6: includes 105 area(s) of change
X:495001-705000	X:600968..810967	 R6:  
X:5610001-5860000	X:5715968..5965967	 R6:  
X:10620001-10820000	X:10725968..10925967	 R6:  
X:11325001-11550000	X:11430968..11655967	 R6:  
X:12955001-13190000	X:13060968..13295967	 R6:  
X:14705001-14960000	X:14810968..15065967	 R6:  
X:21405001-22050000	X:21533974..22648164	 R6: includes 22 area(s) of change
X:22230001-22422827	X:22828165..23020991	 R6:  
3L:18455001-20435000	3L:18461901..20441900	 R6:  
3L:20515001-24543557	3L:20521901..24550457	 R6: includes 2 area(s) of change
2R:1-1040000	2R:4112496..5152495	 R6: includes 2 area(s) of change
2R:1065001-1435000	2R:5177496..5547495	 R6:  
2R:2195001-2410000	2R:6307496..6522495	 R6:  
2R:11290001-11490000	2R:15402496..15602495	 R6:  
2R:17520001-19860000	2R:21632496..23972477	 R6: includes 1 area of change
2R:19780001-21146708	2R:23892478..25259185	 R6:  
3R:1-27905000	3R:4174279..32079278	 R6:  
2L:1-15715000	2L:1..15715000	 R6:  
2L:15630001-15835000	2L:15630001..15835000	 R6:  
2L:15910001-16145000	2L:15910001..16145000	 R6:  
2L:16065001-21510000	2L:16065001..21510000	 R6: includes 1 area of change
2L:21985001-23011544	2L:?..?	 R6: in area of change
X:1-195000	X:103614..300967	 R6: includes 105 area(s) of change
X:100001-400000	X:203005..505967	 R6: includes 98 area(s) of change
X:1495001-1695000	X:1600968..1800967	 R6:  
X:5565001-5860000	X:5670968..5965967	 R6:  
X:8050001-9740000	X:8155968..9845967	 R6:  
X:11325001-11535000	X:11430968..11640967	 R6:  
X:21440001-21780000	X:21568974..22378167	 R6: includes 16 area(s) of change
X:22250001-22422827	X:22848165..23020991	 R6:  
3L:1-18915000	3L:1..18921900	 R6: includes 1 area of change
3L:18855001-22585000	3L:18861901..22591900	 R6:  
3L:22650001-24543557	3L:22656901..24550457	 R6: includes 2 area(s) of change
2R:1-2120000	2R:4112496..6232495	 R6: includes 2 area(s) of change
2R:2305001-3025000	2R:6417496..7137495	 R6:  
2R:3220001-3520000	2R:7332496..7632495	 R6:  
2R:6635001-7500000	2R:10747496..11612495	 R6:  
2R:19130001-21146708	2R:23242478..25259185	 R6:  
3R:1-1950000	3R:4174279..6124278	 R6:  
3R:2155001-24625000	3R:6329279..28799278	 R6:  
3R:24655001-27905000	3R:28829279..32079278	 R6:  
2L:1-15850000	2L:1..15850000	 R6:  
2L:15985001-17370000	2L:15985001..17370000	 R6:  
2L:17380001-20430000	2L:17380001..20430000	 R6:  
2L:20460001-21515000	2L:20460001..21515000	 R6: includes 1 area of change
2L:21445001-23011544	2L:?..?	 R6: in area of change
X:1-145000	X:103614..250967	 R6: includes 105 area(s) of change
X:11325001-11525000	X:11430968..11630967	 R6:  
X:16280001-16885000	X:16385968..16990967	 R6:  
X:21425001-21780000	X:21553974..22378167	 R6: includes 16 area(s) of change
X:22230001-22422827	X:22828165..23020991	 R6:  
3L:2220001-5435000	3L:2220001..5441900	 R6: includes 1 area of change
3L:8040001-8460000	3L:8046901..8466900	 R6:  
3L:23335001-24543557	3L:23341901..24550457	 R6: includes 2 area(s) of change
2R:1-2140000	2R:4112496..6252495	 R6: includes 2 area(s) of change
2R:2060001-2310000	2R:6172496..6422495	 R6:  
2R:2430001-3715000	2R:6542496..7827495	 R6:  
2R:20485001-20685000	2R:24597478..24797477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:80001-300000	3R:4254279..4474278	 R6:  
3R:240001-640000	3R:4414279..4814278	 R6:  
3R:665001-870000	3R:4839279..5044278	 R6:  
3R:9115001-9690000	3R:13289279..13864278	 R6:  
3R:9790001-12460000	3R:13964279..16634278	 R6:  
3R:12385001-27905000	3R:16559279..32079278	 R6:  
2L:22100001-22380000	2L:22100001..22380000	 R6:  
2L:22315001-22650000	2L:22315001..22757268	 R6: includes 1 area of change
2L:22880001-23011544	2L:?..?	 R6: in area of change
X:6400001-7555000	X:6505968..7660967	 R6:  
X:11350001-11550000	X:11455968..11655967	 R6:  
X:21430001-21905000	X:21558974..22503164	 R6: includes 22 area(s) of change
X:22315001-22422827	X:22913165..23020991	 R6:  
3L:30001-24543557	3L:30001..24550457	 R6: includes 3 area(s) of change
2R:1-400000	2R:4112496..4512495	 R6: includes 2 area(s) of change
2R:7265001-8235000	2R:11377496..12347495	 R6:  
2R:8185001-21146708	2R:12297496..25259185	 R6: includes 2 area(s) of change
3R:1-4935000	3R:4174279..9109278	 R6:  
3R:4955001-5585000	3R:9129279..9759278	 R6:  
3R:5495001-6545000	3R:9669279..10719278	 R6:  
3R:8620001-9140000	3R:12794279..13314278	 R6:  
3R:9045001-11475000	3R:13219279..15649278	 R6:  
3R:11505001-12050000	3R:15679279..16224278	 R6:  
3R:11985001-14435000	3R:16159279..18609278	 R6:  
3R:19260001-19515000	3R:23434279..23689278	 R6:  
2L:1670001-1910000	2L:1670001..1910000	 R6:  
2L:6495001-6755000	2L:6495001..6755000	 R6:  
2L:7835001-8690000	2L:7835001..8690000	 R6:  
2L:21290001-21510000	2L:21290001..21510000	 R6: includes 1 area of change
2L:22290001-23011544	2L:?..?	 R6: in area of change
X:1-115000	X:?..?	 R6: in area of change
X:185001-510000	X:290968..615967	 R6:  
X:11325001-11555000	X:11430968..11660967	 R6:  
X:19190001-22422827	X:19295968..23020991	 R6: includes 46 area(s) of change
3L:1-24543557	3L:1..24550457	 R6: includes 3 area(s) of change
2R:1-355000	2R:4112496..4467495	 R6: includes 2 area(s) of change
2R:260001-915000	2R:4372496..5027495	 R6:  
2R:2060001-2410000	2R:6172496..6522495	 R6:  
2R:12210001-12490000	2R:16322496..16602495	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-8590000	3R:4174279..12764278	 R6:  
3R:8505001-9255000	3R:12679279..13429278	 R6:  
3R:9185001-10965000	3R:13359279..15139278	 R6:  
3R:10935001-27905000	3R:15109279..32079278	 R6:  
2L:1675001-1915000	2L:1675001..1915000	 R6:  
2L:20045001-20305000	2L:20045001..20305000	 R6:  
2L:21310001-21540000	2L:21310001..21540000	 R6: includes 1 area of change
2L:21955001-22505000	2L:21955001..22612268	 R6: includes 1 area of change
2L:22465001-23011544	2L:?..?	 R6: in area of change
X:1-4585000	X:103614..4690967	 R6: includes 105 area(s) of change
X:4500001-5935000	X:4605968..6040967	 R6: includes 1 area of change
X:11315001-11565000	X:11420968..11670967	 R6:  
X:14075001-14505000	X:14180968..14610967	 R6:  
X:15750001-16050000	X:15855968..16155967	 R6:  
X:21205001-21800000	X:21333974..22398167	 R6: includes 16 area(s) of change
X:21705001-21905000	X:?..?	 R6: in area of change
X:22240001-22422827	X:22838165..23020991	 R6:  
3L:7195001-10785000	3L:7201901..10791900	 R6:  
3L:14680001-24543557	3L:14686901..24550457	 R6: includes 2 area(s) of change
2R:1-1045000	2R:4112496..5157495	 R6: includes 2 area(s) of change
2R:2055001-2290000	2R:6167496..6402495	 R6:  
2R:11290001-11490000	2R:15402496..15602495	 R6:  
2R:20485001-20685000	2R:24597478..24797477	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:1-6970000	3R:4174279..11144278	 R6:  
3R:7020001-8640000	3R:11194279..12814278	 R6:  
3R:8775001-9155000	3R:12949279..13329278	 R6:  
3R:9295001-27905000	3R:13469279..32079278	 R6:  
2L:1670001-1910000	2L:1670001..1910000	 R6:  
2L:21320001-21550000	2L:21320001..21550000	 R6: includes 1 area of change
2L:22000001-23011544	2L:?..?	 R6: in area of change
X:1-1775000	X:103614..1880967	 R6: includes 105 area(s) of change
X:2840001-3825000	X:2945968..3930967	 R6:  
X:6210001-8285000	X:6315968..8390967	 R6:  
X:8535001-8935000	X:8640968..9040967	 R6:  
X:11205001-11775000	X:11310968..11880967	 R6:  
X:21285001-21495000	X:21413974..21623973	 R6:  
X:21405001-21780000	X:21533974..22378167	 R6: includes 16 area(s) of change
X:22240001-22422827	X:22838165..23020991	 R6:  
3L:23630001-24425000	3L:23636901..24431900	 R6:  
3L:24335001-24543557	3L:24341901..24550457	 R6: includes 2 area(s) of change
2R:1-1115000	2R:4112496..5227495	 R6: includes 2 area(s) of change
2R:11290001-11490000	2R:15402496..15602495	 R6:  
2R:21045001-21146708	2R:25157478..25259185	 R6:  
3R:3765001-3975000	3R:7939279..8149278	 R6:  
3R:5955001-7995000	3R:10129279..12169278	 R6:  
3R:8010001-12115000	3R:12184279..16289278	 R6:  
3R:12055001-27905000	3R:16229279..32079278	 R6:  
2L:1-19540000	2L:1..19540000	 R6:  
2L:19510001-21515000	2L:19510001..21515000	 R6: includes 1 area of change
2L:21440001-23011544	2L:?..?	 R6: in area of change
X:1-120000	X:?..?	 R6: in area of change
X:4505001-4815000	X:4610968..4920967	 R6: includes 1 area of change
X:7640001-8130000	X:7745968..8235967	 R6:  
X:10620001-10820000	X:10725968..10925967	 R6:  
X:11310001-11535000	X:11415968..11640967	 R6:  
X:11840001-12115000	X:11945968..12220967	 R6:  
X:12920001-13185000	X:13025968..13290967	 R6:  
X:17220001-18750000	X:17325968..18855967	 R6:  
X:18835001-21230000	X:18940968..21358973	 R6: includes 24 area(s) of change
X:21505001-21755000	X:?..?	 R6: in area of change
X:21660001-21780000	X:21788974..22378167	 R6: includes 14 area(s) of change
X:22030001-22255000	X:22628165..22853164	 R6:  
X:22170001-22422827	X:22768165..23020991	 R6:  
3L:13030001-24543557	3L:13036901..24550457	 R6: includes 2 area(s) of change
2R:1-3830000	2R:4112496..7942495	 R6: includes 2 area(s) of change
2R:4310001-6005000	2R:8422496..10117495	 R6:  
2R:11290001-11490000	2R:15402496..15602495	 R6:  
